"","V1","Temas","hash"
"1",1,"Identificação política altera os temas científicos de interesse de cada grupo?","cb55511d643ab6390c60cca880f5d870"
"2",2,"O quanto mudanças sociais se correlacionam com mudanças no interesse pela ciência?","cb55511d643ab6390c60cca880f5d870"
"3",3,"Catálogo organizado de canais, podcasts e blogs.","cb55511d643ab6390c60cca880f5d870"
"4",4,"Podcast sobre temas de ciência aberta voltado para cientistas.","cb55511d643ab6390c60cca880f5d870"
"5",5,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","cb55511d643ab6390c60cca880f5d870"
"6",6,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","cb55511d643ab6390c60cca880f5d870"
"7",7,"Quais são os preprints que geram mais comentários pós-publicação?","cb55511d643ab6390c60cca880f5d870"
"8",8,"Como incentivar uma cultura de discussão e revisão pós-publicação de artigos?","cb55511d643ab6390c60cca880f5d870"
"9",9,"Quanto das publicações dos programas de pós-graduação estão em acesso aberto?","cb55511d643ab6390c60cca880f5d870"
"10",10,"Qual a relação entre o tempo até a publicação e o sucesso de replicações?","cb55511d643ab6390c60cca880f5d870"
"11",11,"Usando dados de revisões abertas, qual é a contribuição típica da revisão por pares?","cb55511d643ab6390c60cca880f5d870"
"12",12,"Quais são as barreiras socio-culturais para a abertura de dados científicos?","cb55511d643ab6390c60cca880f5d870"
"13",13,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","cb55511d643ab6390c60cca880f5d870"
"14",14,"PPGs valorizam ciência aberta e reprodutível?","cb55511d643ab6390c60cca880f5d870"
"15",15,"Criação de disciplinas essenciais para a formação de cientistas","cb55511d643ab6390c60cca880f5d870"
"16",16,"Qual a porcentagem de artigos com dados disponíveis nos PPGs do Brasil?","cb55511d643ab6390c60cca880f5d870"
"17",17,"Page rank específico para projetos de divulgação científica","cb55511d643ab6390c60cca880f5d870"
"18",18,"A aproximação da academia com a divulgação científica leva a uma maior diversidade?","cb55511d643ab6390c60cca880f5d870"
"19",19,"Catálogo organizado de canais, podcasts e blogs.","523b801067d4531b1cea7207155b3d60"
"20",20,"Criação de uma startup para tomadas de decisões em relação a recursos hídricos","523b801067d4531b1cea7207155b3d60"
"21",21,"Identificação política altera os temas científicos de interesse de cada grupo?","523b801067d4531b1cea7207155b3d60"
"22",22,"Medir impacto e relevância de projetos de divulgação científica.","523b801067d4531b1cea7207155b3d60"
"23",23,"O quanto mudanças sociais se correlacionam com mudanças no interesse pela ciência?","523b801067d4531b1cea7207155b3d60"
"24",24,"A aproximação da academia com a divulgação científica leva a uma maior diversidade?","523b801067d4531b1cea7207155b3d60"
"25",25,"Identificação política altera os temas científicos de interesse de cada grupo?","36cda3ca8ff4000a9b09cdf7b0924552"
"26",26,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","36cda3ca8ff4000a9b09cdf7b0924552"
"27",27,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","36cda3ca8ff4000a9b09cdf7b0924552"
"28",28,"Como realizar mapeamento de políticas integratórias na promoção da diversidade?","36cda3ca8ff4000a9b09cdf7b0924552"
"29",29,"Como institucionalizar práticas de dados abertos?","36cda3ca8ff4000a9b09cdf7b0924552"
"30",30,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","36cda3ca8ff4000a9b09cdf7b0924552"
"31",31,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","36cda3ca8ff4000a9b09cdf7b0924552"
"32",32,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","247e7bb5a004f4a8479b4050d38650c5"
"33",33,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","247e7bb5a004f4a8479b4050d38650c5"
"34",34,"Desenvolvimento de ferramentas que facilitem mineração de dados","247e7bb5a004f4a8479b4050d38650c5"
"35",35,"Síntese de evidências na área da ciência psicodélica","247e7bb5a004f4a8479b4050d38650c5"
"36",36,"Como realizar mapeamento de políticas integratórias na promoção da diversidade?","247e7bb5a004f4a8479b4050d38650c5"
"37",37,"Ferramenta para anotação colaborativa de dados públicos de transcritoma","247e7bb5a004f4a8479b4050d38650c5"
"38",38,"Quais são os preprints que geram mais comentários pós-publicação?","1e028a556a48adbac714b9c830dd6e56"
"39",39,"Por que a adesão a diretrizes de reporting é heterogênea entre áreas de pesquisa?","1e028a556a48adbac714b9c830dd6e56"
"40",40,"PPGs valorizam ciência aberta e reprodutível?","1e028a556a48adbac714b9c830dd6e56"
"41",41,"Criação de disciplinas essenciais para a formação de cientistas","1e028a556a48adbac714b9c830dd6e56"
"42",42,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","1e028a556a48adbac714b9c830dd6e56"
"43",43,"Qual a porcentagem de artigos com dados disponíveis nos PPGs do Brasil?","1e028a556a48adbac714b9c830dd6e56"
"44",44,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","b5d098e834602793950c50d22e8c9d15"
"45",45,"PPGs valorizam ciência aberta e reprodutível?","b5d098e834602793950c50d22e8c9d15"
"46",46,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","b5d098e834602793950c50d22e8c9d15"
"47",47,"Criação de disciplinas essenciais para a formação de cientistas","b5d098e834602793950c50d22e8c9d15"
"48",48,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","b5d098e834602793950c50d22e8c9d15"
"49",49,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","b5d098e834602793950c50d22e8c9d15"
"50",50,"Podcast sobre temas de ciência aberta voltado para cientistas.","e0fdd740b64a262bcb09b0a941a29731"
"51",51,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","e0fdd740b64a262bcb09b0a941a29731"
"52",52,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","e0fdd740b64a262bcb09b0a941a29731"
"53",53,"O quanto o custo influencia quem publica preprints e artigos em open access?","e0fdd740b64a262bcb09b0a941a29731"
"54",54,"Usando dados de revisões abertas, qual é a contribuição típica da revisão por pares?","e0fdd740b64a262bcb09b0a941a29731"
"55",55,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","e0fdd740b64a262bcb09b0a941a29731"
"56",56,"PPGs valorizam ciência aberta e reprodutível?","e0fdd740b64a262bcb09b0a941a29731"
"57",57,"Criação de disciplinas essenciais para a formação de cientistas","e0fdd740b64a262bcb09b0a941a29731"
"58",58,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","e0fdd740b64a262bcb09b0a941a29731"
"59",59,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","e0fdd740b64a262bcb09b0a941a29731"
"60",60,"Desenvolvimento de ferramentas que facilitem mineração de dados","e0fdd740b64a262bcb09b0a941a29731"
"61",61,"Uso do altmetrics para analisar se mulheres são mais propensas a divulgar suas pesquisas","e0fdd740b64a262bcb09b0a941a29731"
"62",62,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","3e2521f7b09f70e0de4b47feb5a9d842"
"63",63,"PPGs valorizam ciência aberta e reprodutível?","3e2521f7b09f70e0de4b47feb5a9d842"
"64",64,"Criação de disciplinas essenciais para a formação de cientistas","3e2521f7b09f70e0de4b47feb5a9d842"
"65",65,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","3e2521f7b09f70e0de4b47feb5a9d842"
"66",66,"Como rastrear a reprodutibilidade de artigos publicados?","3e2521f7b09f70e0de4b47feb5a9d842"
"67",67,"Quanto controle de qualidade metodológico de fato ocorre em bancas e comitês de ética?","3e2521f7b09f70e0de4b47feb5a9d842"
"68",68,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","df3e030d9e5e11b933c2d674e6be8cc9"
"69",69,"Como institucionalizar práticas de dados abertos?","df3e030d9e5e11b933c2d674e6be8cc9"
"70",70,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","df3e030d9e5e11b933c2d674e6be8cc9"
"71",71,"Criação de disciplinas essenciais para a formação de cientistas","df3e030d9e5e11b933c2d674e6be8cc9"
"72",72,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","df3e030d9e5e11b933c2d674e6be8cc9"
"73",73,"Criação de um hub para depósito de modelos científicos brasileiros para epidemias e doenças","df3e030d9e5e11b933c2d674e6be8cc9"
"74",74,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","42f2de9949907e07fb52cfc6fde4b7fa"
"75",75,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","42f2de9949907e07fb52cfc6fde4b7fa"
"76",76,"Uso do altmetrics para analisar se mulheres são mais propensas a divulgar suas pesquisas","42f2de9949907e07fb52cfc6fde4b7fa"
"77",77,"Medir impacto e relevância de projetos de divulgação científica.","42f2de9949907e07fb52cfc6fde4b7fa"
"78",78,"Quais são os preprints que geram mais comentários pós-publicação?","42f2de9949907e07fb52cfc6fde4b7fa"
"79",79,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","42f2de9949907e07fb52cfc6fde4b7fa"
"80",80,"Identificação política altera os temas científicos de interesse de cada grupo?","eb0fcf42adf8b14dec6a7846c609571a"
"81",81,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","eb0fcf42adf8b14dec6a7846c609571a"
"82",82,"Como otimizar o número de animais utilizado globalmente em uma questão de pesquisa?","eb0fcf42adf8b14dec6a7846c609571a"
"83",83,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","eb0fcf42adf8b14dec6a7846c609571a"
"84",84,"Criação de disciplinas essenciais para a formação de cientistas","eb0fcf42adf8b14dec6a7846c609571a"
"85",85,"Síntese de evidências na área da ciência psicodélica","eb0fcf42adf8b14dec6a7846c609571a"
"86",86,"Catálogo organizado de canais, podcasts e blogs.","0ed9c75b048fd350686e04250e3fefbd"
"87",87,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","0ed9c75b048fd350686e04250e3fefbd"
"88",88,"Como incentivar uma cultura de discussão e revisão pós-publicação de artigos?","0ed9c75b048fd350686e04250e3fefbd"
"89",89,"Usando dados de revisões abertas, qual é a contribuição típica da revisão por pares?","0ed9c75b048fd350686e04250e3fefbd"
"90",90,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","0ed9c75b048fd350686e04250e3fefbd"
"91",91,"Como é a qualidade dos artigos individuais em periódicos predatórios?","0ed9c75b048fd350686e04250e3fefbd"
"92",92,"Campos mudam mais rápido quando pesquisadores importantes se aposentam? (i.e. a ciência avança \""velório a velório\""?)","b8d8e1c8bec0a63df746c468edfdb2a9"
"93",93,"Ferramenta para anotação colaborativa de dados públicos de transcritoma","b8d8e1c8bec0a63df746c468edfdb2a9"
"94",94,"Modelo do JOGL (Just One Giant Lab) no Brasil.","b8d8e1c8bec0a63df746c468edfdb2a9"
"95",95,"Desenvolvimento de ferramentas que facilitem mineração de dados","b8d8e1c8bec0a63df746c468edfdb2a9"
"96",96,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","b8d8e1c8bec0a63df746c468edfdb2a9"
"97",97,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","b8d8e1c8bec0a63df746c468edfdb2a9"
"98",98,"Como incentivar uma cultura de discussão e revisão pós-publicação de artigos?","e95d99edf784a34c539d7bbdfbd24f47"
"99",99,"Quanto das publicações dos programas de pós-graduação estão em acesso aberto?","e95d99edf784a34c539d7bbdfbd24f47"
"100",100,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","e95d99edf784a34c539d7bbdfbd24f47"
"101",101,"Como institucionalizar práticas de dados abertos?","e95d99edf784a34c539d7bbdfbd24f47"
"102",102,"Survey para analisar a percepção dos alunos PG sobre a formação de um cientista","e95d99edf784a34c539d7bbdfbd24f47"
"103",103,"PPGs valorizam ciência aberta e reprodutível?","e95d99edf784a34c539d7bbdfbd24f47"
"104",104,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","e95d99edf784a34c539d7bbdfbd24f47"
"105",105,"Qual a porcentagem de artigos com dados disponíveis nos PPGs do Brasil?","e95d99edf784a34c539d7bbdfbd24f47"
"106",106,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","e95d99edf784a34c539d7bbdfbd24f47"
"107",107,"Uso de dados do Serrapilheira para mapear perfil de divulgadores no Brasil.","9149bbf645f2498e8a5cf7dd9b3bf85f"
"108",108,"Page rank específico para projetos de divulgação científica","9149bbf645f2498e8a5cf7dd9b3bf85f"
"109",109,"Ferramenta para anotação colaborativa de dados públicos de transcritoma","9149bbf645f2498e8a5cf7dd9b3bf85f"
"110",110,"Usando dados de revisões abertas, qual é a contribuição típica da revisão por pares?","9149bbf645f2498e8a5cf7dd9b3bf85f"
"111",111,"Como institucionalizar práticas de dados abertos?","9149bbf645f2498e8a5cf7dd9b3bf85f"
"112",112,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","9149bbf645f2498e8a5cf7dd9b3bf85f"
"113",113,"Software de mapeamento de conteúdo sobre ciência na mídia - SAPO (Prof. Yurij Castelfranchi).","700182c2762cd5ee120b90a32d6b58fe"
"114",114,"Catálogo organizado de canais, podcasts e blogs.","700182c2762cd5ee120b90a32d6b58fe"
"115",115,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","700182c2762cd5ee120b90a32d6b58fe"
"116",116,"Desenvolvimento de ferramentas que facilitem mineração de dados","700182c2762cd5ee120b90a32d6b58fe"
"117",117,"Workflow management system focado em reprodutibilidade nas ciências humanas","0e8d13b875647f516760ca95ff34d87b"
"118",118,"Catálogo organizado de canais, podcasts e blogs.","0e8d13b875647f516760ca95ff34d87b"
"119",119,"Page rank específico para projetos de divulgação científica","0e8d13b875647f516760ca95ff34d87b"
"120",120,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","0e8d13b875647f516760ca95ff34d87b"
"121",121,"Medir impacto e relevância de projetos de divulgação científica.","0e8d13b875647f516760ca95ff34d87b"
"122",122,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","0e8d13b875647f516760ca95ff34d87b"
"123",123,"Identificação política altera os temas científicos de interesse de cada grupo?","20835682301f20627f96da772b663a54"
"124",124,"O quanto mudanças sociais se correlacionam com mudanças no interesse pela ciência?","20835682301f20627f96da772b663a54"
"125",125,"Catálogo organizado de canais, podcasts e blogs.","20835682301f20627f96da772b663a54"
"126",126,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","20835682301f20627f96da772b663a54"
"127",127,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","20835682301f20627f96da772b663a54"
"128",128,"Como realizar mapeamento de políticas integratórias na promoção da diversidade?","20835682301f20627f96da772b663a54"
"129",129,"Criação de um hub para depósito de modelos científicos brasileiros para epidemias e doenças","644588a970d1339e86872eab988196ad"
"130",130,"Modelo do JOGL (Just One Giant Lab) no Brasil.","644588a970d1339e86872eab988196ad"
"131",131,"Como incentivar uma cultura de discussão e revisão pós-publicação de artigos?","644588a970d1339e86872eab988196ad"
"132",132,"Como rastrear a reprodutibilidade de artigos publicados?","644588a970d1339e86872eab988196ad"
"133",133,"Até onde devemos estender nossa definição de \""evidência científica\"" para fins de síntese?","644588a970d1339e86872eab988196ad"
"134",134,"Desenvolvimento de ferramentas que facilitem mineração de dados","644588a970d1339e86872eab988196ad"
"135",135,"Como institucionalizar práticas de dados abertos?","644588a970d1339e86872eab988196ad"
"136",136,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","644588a970d1339e86872eab988196ad"
"137",137,"Workflow management system focado em reprodutibilidade nas ciências humanas","f28d5f64794034000ae961957c3f677d"
"138",138,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","f28d5f64794034000ae961957c3f677d"
"139",139,"Modelo do JOGL (Just One Giant Lab) no Brasil.","f28d5f64794034000ae961957c3f677d"
"140",140,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","f28d5f64794034000ae961957c3f677d"
"141",141,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","f28d5f64794034000ae961957c3f677d"
"142",142,"Como institucionalizar práticas de dados abertos?","f28d5f64794034000ae961957c3f677d"
"143",143,"PPGs valorizam ciência aberta e reprodutível?","9a05d942a05c06819ca8c15bf7850362"
"144",144,"O quanto mudanças sociais se correlacionam com mudanças no interesse pela ciência?","9a05d942a05c06819ca8c15bf7850362"
"145",145,"O quanto o custo influencia quem publica preprints e artigos em open access?","9a05d942a05c06819ca8c15bf7850362"
"146",146,"Por que a adesão a diretrizes de reporting é heterogênea entre áreas de pesquisa?","9a05d942a05c06819ca8c15bf7850362"
"147",147,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","9a05d942a05c06819ca8c15bf7850362"
"148",148,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","9a05d942a05c06819ca8c15bf7850362"
"149",149,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","9a05d942a05c06819ca8c15bf7850362"
"150",150,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","9a05d942a05c06819ca8c15bf7850362"
"151",151,"PPGs valorizam ciência aberta e reprodutível?","17dbb416d34f81f97cc3b74e2dc50a8e"
"152",152,"Catálogo organizado de canais, podcasts e blogs.","17dbb416d34f81f97cc3b74e2dc50a8e"
"153",153,"Identificação política altera os temas científicos de interesse de cada grupo?","17dbb416d34f81f97cc3b74e2dc50a8e"
"154",154,"Medir impacto e relevância de projetos de divulgação científica.","17dbb416d34f81f97cc3b74e2dc50a8e"
"155",155,"Como rastrear a reprodutibilidade de artigos publicados?","17dbb416d34f81f97cc3b74e2dc50a8e"
"156",156,"Por que a adesão a diretrizes de reporting é heterogênea entre áreas de pesquisa?","17dbb416d34f81f97cc3b74e2dc50a8e"
"157",157,"Como incentivar uma cultura de discussão e revisão pós-publicação de artigos?","8c138ebd4cf16018ce43eae486282d63"
"158",158,"Quanto das publicações dos programas de pós-graduação estão em acesso aberto?","8c138ebd4cf16018ce43eae486282d63"
"159",159,"O quanto o custo influencia quem publica preprints e artigos em open access?","8c138ebd4cf16018ce43eae486282d63"
"160",160,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","8c138ebd4cf16018ce43eae486282d63"
"161",161,"PPGs valorizam ciência aberta e reprodutível?","8c138ebd4cf16018ce43eae486282d63"
"162",162,"Criação de disciplinas essenciais para a formação de cientistas","8c138ebd4cf16018ce43eae486282d63"
"163",163,"Como ampliar a visibilidade de práticas de dados abertos e suas vantagens.","b9cfa568b970025fff0cc22b1a27a66a"
"164",164,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","b9cfa568b970025fff0cc22b1a27a66a"
"165",165,"Desenvolvimento de ferramentas que facilitem mineração de dados","b9cfa568b970025fff0cc22b1a27a66a"
"166",166,"Como realizar mapeamento de políticas integratórias na promoção da diversidade?","b9cfa568b970025fff0cc22b1a27a66a"
"167",167,"A aproximação da academia com a divulgação científica leva a uma maior diversidade?","b9cfa568b970025fff0cc22b1a27a66a"
"168",168,"Ferramenta para anotação colaborativa de dados públicos de transcritoma","b9cfa568b970025fff0cc22b1a27a66a"
"169",169,"Identificação política altera os temas científicos de interesse de cada grupo?","108f08095110cecbb9a071fea288363d"
"170",170,"Catálogo organizado de canais, podcasts e blogs.","108f08095110cecbb9a071fea288363d"
"171",171,"Podcast sobre temas de ciência aberta voltado para cientistas.","108f08095110cecbb9a071fea288363d"
"172",172,"Qual a porcentagem de docentes que publicam preprint, open access e deixam dados disponíveis?","108f08095110cecbb9a071fea288363d"
"173",173,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","108f08095110cecbb9a071fea288363d"
"174",174,"Page rank específico para projetos de divulgação científica","108f08095110cecbb9a071fea288363d"
"175",175,"Software de mapeamento de conteúdo sobre ciência na mídia - SAPO (Prof. Yurij Castelfranchi).","c638976d1f73df41ea150c125bc8770f"
"176",176,"Modelo do JOGL (Just One Giant Lab) no Brasil.","c638976d1f73df41ea150c125bc8770f"
"177",177,"Catálogo organizado de canais, podcasts e blogs.","c638976d1f73df41ea150c125bc8770f"
"178",178,"Medir impacto e relevância de projetos de divulgação científica.","c638976d1f73df41ea150c125bc8770f"
"179",179,"Replicação do estudo do efeito do Twitter sobre citações, com divulgadores brasileiros.","c638976d1f73df41ea150c125bc8770f"
"180",180,"O quanto o custo influencia quem publica preprints e artigos em open access?","c638976d1f73df41ea150c125bc8770f"
"181",181,"Dados pseudoabertos: Quais dados parecem abertos mas não são realmente?","c638976d1f73df41ea150c125bc8770f"
"182",182,"O quão frequentes são metanálises conflitantes, e o que fazer com elas?","c638976d1f73df41ea150c125bc8770f"
"183",183,"Como é a qualidade dos artigos individuais em periódicos predatórios?","c638976d1f73df41ea150c125bc8770f"
"184",184,"Como rastrear a reprodutibilidade de artigos publicados?","c638976d1f73df41ea150c125bc8770f"
"185",185,"Criação de um hub para depósito de modelos científicos brasileiros para epidemias e doenças","c638976d1f73df41ea150c125bc8770f"
"186",186,"Criação de um ranking No-Budget Science de ciência aberta e reprodutível","c638976d1f73df41ea150c125bc8770f"
"187",187,"Mapeamento das ferramentas e os conhecimentos necessários para acesso a clusters abertos","c638976d1f73df41ea150c125bc8770f"
"188",188,"Page rank específico para projetos de divulgação científica","c638976d1f73df41ea150c125bc8770f"
